p e cs2 p_norm muB X n gamma
2.4300000e+02 1.0480000e+03 2.9200000e-01 5.0020000e-01 1.4120000e+03 2.9000000e+00 7.0176000e-03 1.5513251e+00
2.4610000e+02 1.0590000e+03 2.9210000e-01 5.0180000e-01 1.4150000e+03 2.9000000e+00 7.0752000e-03 1.5490439e+00
2.4920000e+02 1.0700000e+03 2.9220000e-01 5.0330000e-01 1.4190000e+03 2.9000000e+00 7.1328000e-03 1.5468308e+00
2.5240000e+02 1.0800000e+03 2.9230000e-01 5.0490000e-01 1.4220000e+03 2.9000000e+00 7.1920000e-03 1.5430290e+00
2.5560000e+02 1.0910000e+03 2.9250000e-01 5.0640000e-01 1.4250000e+03 2.9000000e+00 7.2512000e-03 1.5410035e+00
2.5890000e+02 1.1020000e+03 2.9260000e-01 5.0800000e-01 1.4290000e+03 2.9000000e+00 7.3104000e-03 1.5380430e+00
2.6210000e+02 1.1140000e+03 2.9270000e-01 5.0950000e-01 1.4320000e+03 2.9000000e+00 7.3696000e-03 1.5367588e+00
2.6540000e+02 1.1250000e+03 2.9290000e-01 5.1100000e-01 1.4360000e+03 2.9000000e+00 7.4304000e-03 1.5344693e+00
2.6880000e+02 1.1360000e+03 2.9300000e-01 5.1250000e-01 1.4390000e+03 2.9000000e+00 7.4912000e-03 1.5312738e+00
2.7210000e+02 1.1480000e+03 2.9310000e-01 5.1400000e-01 1.4430000e+03 2.9000000e+00 7.5520000e-03 1.5296998e+00
2.7560000e+02 1.1590000e+03 2.9320000e-01 5.1550000e-01 1.4460000e+03 2.9000000e+00 7.6144000e-03 1.5262145e+00
2.7900000e+02 1.1710000e+03 2.9340000e-01 5.1700000e-01 1.4490000e+03 2.9000000e+00 7.6768000e-03 1.5248387e+00
2.8250000e+02 1.1830000e+03 2.9350000e-01 5.1850000e-01 1.4530000e+03 2.9000000e+00 7.7392000e-03 1.5225637e+00
2.8600000e+02 1.1950000e+03 2.9360000e-01 5.1990000e-01 1.4560000e+03 2.9000000e+00 7.8032000e-03 1.5203552e+00
2.8960000e+02 1.2070000e+03 2.9380000e-01 5.2140000e-01 1.4600000e+03 2.9000000e+00 7.8672000e-03 1.5183048e+00
2.9320000e+02 1.2190000e+03 2.9390000e-01 5.2280000e-01 1.4630000e+03 2.9000000e+00 7.9312000e-03 1.5158103e+00
2.9680000e+02 1.2320000e+03 2.9400000e-01 5.2430000e-01 1.4670000e+03 2.9000000e+00 7.9952000e-03 1.5143774e+00
3.0050000e+02 1.2440000e+03 2.9410000e-01 5.2570000e-01 1.4700000e+03 2.9000000e+00 8.0608000e-03 1.5116055e+00
3.0420000e+02 1.2570000e+03 2.9430000e-01 5.2720000e-01 1.4740000e+03 2.9000000e+00 8.1264000e-03 1.5103917e+00
